city,lat,lng,country,admin,timezone,create_dashboard
New York,40.6943,-73.9249,United States,admin,America/New_York,False
Los Angeles,34.1141,-118.4068,United States,admin,America/Los_Angeles,False
London,51.5072,-0.1275,United Kingdom,admin,Europe/London,False
Chicago,41.8375,-87.6866,United States,admin,America/Chicago,False
Miami,25.784,-80.2101,United States,admin,America/New_York,False
Houston,29.786,-95.3885,United States,admin,America/Chicago,False
Dallas,32.7935,-96.7667,United States,admin,America/Chicago,False
Philadelphia,40.0077,-75.1339,United States,admin,America/New_York,False
Atlanta,33.7628,-84.422,United States,admin,America/New_York,False
Washington,38.9047,-77.0163,United States,admin,America/New_York,False
Boston,42.3188,-71.0852,United States,admin,America/New_York,False
Phoenix,33.5722,-112.0892,United States,admin,America/Phoenix,False
Detroit,42.3834,-83.1024,United States,admin,America/New_York,False
Seattle,47.6211,-122.3244,United States,admin,America/Los_Angeles,False
San Francisco,37.7558,-122.4449,United States,admin,America/Los_Angeles,False
San Diego,32.8313,-117.1222,United States,admin,America/Los_Angeles,False
Minneapolis,44.9635,-93.2678,United States,admin,America/Chicago,False
Tampa,27.9945,-82.4447,United States,admin,America/New_York,False
Brooklyn,40.6501,-73.9496,United States,admin,America/New_York,False
Denver,39.762,-104.8758,United States,admin,America/Denver,False
Birmingham,52.48,-1.9025,United Kingdom,admin,Europe/London,False
Queens,40.7498,-73.7976,United States,admin,America/New_York,False
Riverside,33.9381,-117.3949,United States,admin,America/Los_Angeles,False
Las Vegas,36.2333,-115.2654,United States,admin,America/Los_Angeles,False
Baltimore,39.3051,-76.6144,United States,admin,America/New_York,False
St. Louis,38.6359,-90.2451,United States,admin,America/Chicago,False
Portland,45.5371,-122.65,United States,admin,America/Los_Angeles,False
San Antonio,29.4632,-98.5238,United States,admin,America/Chicago,False
Sacramento,38.5677,-121.4685,United States,admin,America/Los_Angeles,False
Austin,30.3005,-97.7522,United States,admin,America/Chicago,False
Orlando,28.4773,-81.337,United States,admin,America/New_York,False
San Jose,37.3012,-121.848,United States,admin,America/Los_Angeles,False
Indianapolis,39.7771,-86.1458,United States,admin,America/New_York,False
Pittsburgh,40.4397,-79.9763,United States,admin,America/New_York,False
Cincinnati,39.1413,-84.506,United States,admin,America/New_York,False
Manhattan,40.7834,-73.9662,United States,admin,America/New_York,False
Kansas City,39.1238,-94.5541,United States,admin,America/Chicago,False
Cleveland,41.4764,-81.6805,United States,admin,America/New_York,False
Columbus,39.9862,-82.9855,United States,admin,America/New_York,False
Bronx,40.8501,-73.8662,United States,admin,America/New_York,False
Charlotte,35.2083,-80.8303,United States,admin,America/New_York,False
Virginia Beach,36.7335,-76.0435,United States,admin,America/New_York,False
Jacksonville,30.3322,-81.6749,United States,admin,America/New_York,False
Milwaukee,43.0642,-87.9675,United States,admin,America/Chicago,False
Providence,41.823,-71.4187,United States,admin,America/New_York,False
Nashville,36.1715,-86.7842,United States,admin,America/Chicago,False
Salt Lake City,40.7776,-111.9311,United States,admin,America/Denver,False
Raleigh,35.8324,-78.6429,United States,admin,America/New_York,False
Richmond,37.5295,-77.4756,United States,admin,America/New_York,False
Memphis,35.1087,-89.9663,United States,capital,America/Chicago,False
Oklahoma City,35.4676,-97.5136,United States,primary,America/Chicago,False
Hartford,41.7661,-72.6834,United States,primary,America/New_York,False
Reading,51.4542,-0.9731,United Kingdom,,Europe/London,True
Manchester,53.479,-2.2452,United Kingdom,,Europe/London,False
Cambridge,52.205,0.1225,United Kingdom,,Europe/London,True
Tokyo,35.687,139.7495,Japan,admin,Asia/Tokyo,False
Jakarta,-6.175,106.8275,Indonesia,admin,Asia/Jakarta,False
Delhi,28.61,77.23,India,admin,Asia/Kolkata,False
Guangzhou,23.13,113.26,China,admin,Asia/Manila,False
Mumbai,19.0761,72.8775,India,admin,Asia/Kolkata,False
Manila,14.5958,120.9772,Philippines,admin,Asia/Manila,False
Shanghai,31.2286,121.4747,China,admin,Asia/Manila,False
Sao Paulo,-23.5504,-46.6339,Brazil,admin,America/Sao_Paulo,False
Seoul,37.5667,126.9833,"Korea, South",admin,Asia/Tokyo,False
Mexico City,19.4333,-99.1333,Mexico,admin,America/Mexico_City,False
Kolkata,22.5675,88.37,India,admin,Asia/Kolkata,False
Cairo,30.0444,31.2358,Egypt,admin,Africa/Cairo,False
Karachi,24.86,67.01,Pakistan,admin,Asia/Karachi,False
Dhaka,23.7289,90.3944,Bangladesh,admin,Asia/Dhaka,False
Beijing,39.9067,116.3975,China,admin,Asia/Manila,False
Bangkok,13.7525,100.4942,Thailand,admin,Asia/Jakarta,False
Shenzhen,22.5415,114.0596,China,admin,Asia/Manila,False
Moscow,55.7506,37.6175,Russia,admin,Europe/Moscow,False
Buenos Aires,-34.6036,-58.3814,Argentina,admin,America/Sao_Paulo,False
Bangalore,12.9789,77.5917,India,admin,Asia/Kolkata,False
Ho Chi Minh City,10.7756,106.7019,Vietnam,admin,Asia/Jakarta,False
Osaka,34.6939,135.5022,Japan,admin,Asia/Tokyo,False
Chengdu,30.66,104.0633,China,admin,Asia/Manila,False
Istanbul,41.0136,28.955,Turkey,admin,Europe/Moscow,False
Rio de Janeiro,-22.9111,-43.2056,Brazil,admin,America/Sao_Paulo,False
Chennai,13.0825,80.275,India,admin,Asia/Kolkata,False
Xi'an,34.2611,108.9422,China,admin,Asia/Manila,False
Lahore,31.5497,74.3436,Pakistan,admin,Asia/Karachi,False
Chongqing,29.5637,106.5504,China,admin,Asia/Manila,False
Paris,48.8567,2.3522,France,admin,Europe/Paris,False
Linyi,35.1038,118.3564,China,admin,Asia/Manila,False
Dongguan,23.021,113.752,China,admin,Asia/Manila,False
Baoding,38.874,115.464,China,admin,Asia/Manila,False
Hyderabad,17.3617,78.4747,India,admin,Asia/Kolkata,False
Tianjin,39.1336,117.2054,China,admin,Asia/Manila,False
Wuhan,30.5934,114.3046,China,admin,Asia/Manila,False
Nanyang,32.9902,112.5285,China,admin,Asia/Manila,False
Hangzhou,30.267,120.153,China,admin,Asia/Manila,False
Nagoya,35.1833,136.9,Japan,admin,Asia/Tokyo,False
Foshan,23.0214,113.1216,China,admin,Asia/Manila,False
Kuala Lumpur,3.1686,101.698,Malaysia,admin,Asia/Manila,False
Zhoukou,33.6367,114.7014,China,admin,Asia/Manila,False
Tongshan,34.261,117.1859,China,admin,Asia/Manila,False
Hanoi,21.0,105.85,Vietnam,admin,Asia/Jakarta,False
Nanjing,32.0608,118.7789,China,admin,Asia/Manila,False
Heze,35.2343,115.4796,China,admin,Asia/Manila,False
Pune,18.5203,73.8567,India,admin,Asia/Kolkata,False
Jining,35.4151,116.5871,China,admin,Asia/Manila,False
Bogota,4.7111,-74.0722,Colombia,admin,America/Lima,False
Ahmedabad,23.0225,72.5714,India,admin,Asia/Kolkata,False
Shenyang,41.8025,123.4281,China,admin,Asia/Manila,False
Johannesburg,-26.2044,28.0456,South Africa,admin,Africa/Johannesburg,False
Fuyang,32.89,115.814,China,admin,Asia/Manila,False
Hong Kong,22.3,114.2,Hong Kong,admin,Asia/Manila,True
Ganzhou,25.831,114.933,China,admin,Asia/Manila,False
Shangqiu,34.415,115.656,China,admin,Asia/Manila,False
Cangzhou,38.3047,116.8387,China,admin,Asia/Manila,False
Riyadh,24.65,46.71,Saudi Arabia,admin,Europe/Moscow,False
Santiago,-33.4372,-70.6506,Chile,admin,America/Santiago,False
Zhumadian,33.014,114.022,China,admin,Asia/Manila,False
Zhanjiang,21.2701,110.3575,China,admin,Asia/Manila,False
Yancheng,33.35,120.1569,China,admin,Asia/Manila,False
Bijie,27.284,105.292,China,admin,Asia/Manila,False
Xingtai,37.0717,114.5048,China,admin,Asia/Manila,False
Hengyang,26.894,112.572,China,admin,Asia/Manila,False
Shaoyang,27.2395,111.4679,China,admin,Asia/Manila,False
Surabaya,-7.2458,112.7378,Indonesia,admin,Asia/Jakarta,False
Surat,21.205,72.84,India,admin,Asia/Kolkata,False
Quanzhou,24.8744,118.6757,China,admin,Asia/Manila,False
Shangrao,28.4551,117.9431,China,admin,Asia/Manila,False
Zunyi,27.722,107.031,China,admin,Asia/Manila,False
Maoming,21.6627,110.9255,China,admin,Asia/Manila,False
Xinyang,32.149,114.091,China,admin,Asia/Manila,False
Singapore,1.3,103.8,Singapore,admin,Asia/Manila,False
Prayagraj,25.4358,81.8464,India,admin,Asia/Kolkata,False
Huanggang,30.4537,114.8724,China,admin,Asia/Manila,False
Dalian,38.9,121.6,China,admin,Asia/Manila,False
Ankara,39.93,32.85,Turkey,admin,Europe/Moscow,False
Qingdao,36.0669,120.3827,China,admin,Asia/Manila,False
Yulin,22.654,110.181,China,admin,Asia/Manila,False
Liaocheng,36.4559,115.9852,China,admin,Asia/Manila,False
Qujing,25.491,103.796,China,admin,Asia/Manila,False
Nangandao,35.3036,113.9268,China,admin,Asia/Manila,False
Addis Ababa,9.03,38.74,Ethiopia,admin,Europe/Moscow,False
Toronto,43.7417,-79.3733,Canada,admin,America/New_York,False
Zhengzhou,34.764,113.684,China,admin,Asia/Manila,False
Nanchong,30.8372,106.1106,China,admin,Asia/Manila,False
Jinan,36.6702,117.0207,China,admin,Asia/Manila,False
Giza,29.987,31.2118,Egypt,admin,Africa/Cairo,False
Saint Petersburg,59.9375,30.3086,Russia,admin,Europe/Moscow,False
Jieyang,23.551,116.3727,China,admin,Asia/Manila,False
Dezhou,37.436,116.359,China,admin,Asia/Manila,False
Guadalajara,20.6767,-103.3475,Mexico,admin,America/Mexico_City,False
Tai'an,36.202,117.087,China,admin,Asia/Manila,False
Dazhou,31.2093,107.4678,China,admin,Asia/Manila,False
Belo Horizonte,-19.9281,-43.9419,Brazil,admin,America/Sao_Paulo,False
Suzhou,33.648,116.964,China,admin,Asia/Manila,False
Monterrey,25.6844,-100.3181,Mexico,admin,America/Mexico_City,False
Yongzhou,26.42,111.613,China,admin,Asia/Manila,False
Changde,29.031,111.699,China,admin,Asia/Manila,False
Xiangyang,32.01,112.122,China,admin,Asia/Manila,False
Pudong,31.2347,121.5064,China,admin,Asia/Manila,False
Zhaotong,27.338,103.717,China,admin,Asia/Manila,False
Zhangzhou,24.513,117.647,China,admin,Asia/Manila,False
Yueyang,29.3647,113.1309,China,admin,Asia/Manila,False
Melbourne,-37.8142,144.9631,Australia,admin,Australia/Sydney,False
Yichun,27.816,114.417,China,admin,Asia/Manila,False
Guilin,25.275,110.296,China,admin,Asia/Manila,False
Pingdingshan,33.7666,113.1926,China,admin,Asia/Manila,False
Alexandria,31.1975,29.8925,Egypt,admin,Africa/Cairo,False
Bozhou,33.8463,115.7786,China,admin,Asia/Manila,False
Sydney,-33.8667,151.2,Australia,admin,Australia/Sydney,False
Yuncheng,35.0267,111.007,China,admin,Asia/Manila,False
Cape Town,-33.9253,18.4239,South Africa,admin,Africa/Johannesburg,False
Changsha,28.228,112.939,China,admin,Asia/Manila,False
Suqian,33.963,118.275,China,admin,Asia/Manila,False
Jeddah,21.5428,39.1728,Saudi Arabia,admin,Europe/Moscow,False
Weinan,34.5206,109.471,China,admin,Asia/Manila,False
Berlin,52.52,13.405,Germany,admin,Europe/Paris,False
Chenzhou,25.77,113.016,China,admin,Asia/Manila,False
Jiangmen,22.5789,113.0815,China,admin,Asia/Manila,False
Mianyang,31.468,104.679,China,admin,Asia/Manila,False
Jiujiang,29.661,115.954,China,admin,Asia/Manila,False
Huaihua,27.5698,110.0016,China,admin,Asia/Manila,False
Huanglongsi,34.795,114.345,China,admin,Asia/Manila,False
Taizhou,32.4567,119.9229,China,admin,Asia/Manila,False
Belahi,26.4,86.25,India,admin,Asia/Kolkata,False
Yibin,28.752,104.643,China,admin,Asia/Manila,False
Ji'an,27.0912,114.9668,China,admin,Asia/Manila,False
Yangzhou,32.3944,119.4128,China,admin,Asia/Manila,False
Kunming,25.0464,102.7094,China,admin,Asia/Manila,False
Changchun,43.897,125.326,China,admin,Asia/Manila,False
Lu'an,31.736,116.52,China,admin,Asia/Manila,False
Xinpu,34.5966,119.2214,China,admin,Asia/Manila,False
Langfang,39.5383,116.6835,China,admin,Asia/Manila,False
Urumqi,43.8225,87.6125,China,admin,Asia/Dhaka,False
Suzhou,31.3,120.6194,China,admin,Asia/Manila,False
Guigang,23.112,109.599,China,admin,Asia/Manila,False
Shantou,23.354,116.682,China,admin,Asia/Manila,False
Jiangguanchi,34.037,113.852,China,admin,Asia/Manila,False
Xiaoganzhan,30.918,113.957,China,admin,Asia/Manila,False
Luzhou,28.871,105.442,China,admin,Asia/Manila,False
Hefei,31.8206,117.2273,China,admin,Asia/Manila,False
Hengshui,37.739,115.669,China,admin,Asia/Manila,False
Fortaleza,-3.7275,-38.5275,Brazil,admin,America/Sao_Paulo,False
Anqing,30.5318,117.1153,China,admin,Asia/Manila,False
Zhangjiakou,40.769,114.886,China,admin,Asia/Manila,False
Zhaoqing,23.05,112.4667,China,admin,Asia/Manila,False
Shijiazhuang,38.0425,114.51,China,admin,Asia/Manila,False
Ningbo,29.8603,121.6245,China,admin,Asia/Manila,False
Qiqihar,47.3549,123.9182,China,admin,Asia/Manila,False
Liuzhou,24.3278,109.4278,China,admin,Asia/Manila,False
Chifeng,42.255,118.8825,China,admin,Asia/Manila,False
Xiaoxita,30.692,111.287,China,admin,Asia/Manila,False
Linfen,36.088,111.519,China,admin,Asia/Manila,False
Xianyang,34.3299,108.7088,China,admin,Asia/Manila,False
Chuzhou,32.256,118.333,China,admin,Asia/Manila,False
Kumasi,6.7,-1.625,Ghana,admin,Africa/Abidjan,False
Zhuzhou,27.829,113.133,China,admin,Asia/Manila,False
Taiyuan,37.8704,112.5497,China,admin,Asia/Manila,False
Qingyuan,23.682,113.056,China,admin,Asia/Manila,False
Meizhou,24.289,116.122,China,admin,Asia/Manila,False
Yiyang,28.5549,112.356,China,admin,Asia/Manila,False
Nanning,22.8167,108.3275,China,admin,Asia/Manila,False
Harbin,45.7576,126.6409,China,admin,Asia/Manila,False
Loudi,27.6998,111.9944,China,admin,Asia/Manila,False
Yokohama,35.4442,139.6381,Japan,admin,Asia/Tokyo,False
Suihua,46.654,126.969,China,admin,Asia/Manila,False
Binzhou,37.383,117.971,China,admin,Asia/Manila,False
Zaozhuang,34.8109,117.3238,China,admin,Asia/Manila,False
Xiamen,24.4796,118.0889,China,admin,Asia/Manila,False
Montreal,45.5089,-73.5617,Canada,admin,America/New_York,False
Fuzhou,26.0743,119.2964,China,admin,Asia/Manila,False
Wuhu,31.3526,118.4331,China,admin,Asia/Manila,False
Medan,3.5894,98.6739,Indonesia,admin,Asia/Jakarta,False
Yulinshi,38.2858,109.7341,China,admin,Asia/Manila,False
Fuzhou,27.949,116.358,China,admin,Asia/Manila,False
Wenzhou,27.9938,120.6993,China,admin,Asia/Manila,False
Changzhou,31.811,119.974,China,admin,Asia/Manila,False
Puyang,35.7627,115.0292,China,admin,Asia/Manila,False
Nanchang,28.683,115.858,China,admin,Asia/Manila,False
Baicheng,23.903,106.619,China,admin,Asia/Manila,False
Jiaozuo,35.2157,113.2419,China,admin,Asia/Manila,False
Nadampalaiyam,11.0125,76.9714,India,admin,Asia/Kolkata,False
Deyang,31.127,104.398,China,admin,Asia/Manila,False
Busan,35.18,129.075,"Korea, South",admin,Asia/Tokyo,False
Hechi,24.693,108.085,China,admin,Asia/Manila,False
Tangshan,39.6294,118.1739,China,admin,Asia/Manila,False
Lucknow,26.85,80.95,India,admin,Asia/Kolkata,False
Boankra,6.6919,-1.4051,Ghana,admin,Africa/Abidjan,False
Dubai,25.2631,55.2972,United Arab Emirates,admin,Asia/Dubai,False
Anshan,41.108,122.994,China,admin,Asia/Manila,False
Guozhen,34.3609,107.1751,China,admin,Asia/Manila,False
Baojishi,34.363,107.238,China,admin,Asia/Manila,False
Qinzhou,21.981,108.654,China,admin,Asia/Manila,False
Guiyang,26.647,106.63,China,admin,Asia/Manila,False
Wuxi,31.5667,120.2833,China,admin,Asia/Manila,False
Kannankulam,10.52,76.21,India,admin,Asia/Kolkata,False
Kotla Qasim Khan,32.5833,73.75,Pakistan,admin,Asia/Karachi,False
Casablanca,33.5333,-7.5833,Morocco,admin,Africa/Casablanca,False
Hanzhong,33.0664,107.0232,China,admin,Asia/Manila,False
Shiyan,32.629,110.7987,China,admin,Asia/Manila,False
Guang'an,30.4564,106.6326,China,admin,Asia/Manila,False
Faisalabad,31.4167,73.0911,Pakistan,admin,Asia/Karachi,False
Changzhi,36.195,113.117,China,admin,Asia/Manila,False
Tongren,27.7316,109.1895,China,admin,Asia/Manila,False
Bengbu,32.917,117.389,China,admin,Asia/Manila,False
Leshan,29.552,103.766,China,admin,Asia/Manila,False
Neijiang,29.5802,105.058,China,admin,Asia/Manila,False
Zhenjiang,32.188,119.424,China,admin,Asia/Manila,False
Qinhuangdao,39.8882,119.5202,China,admin,Asia/Manila,False
Bursa,40.1833,29.05,Turkey,admin,Europe/Moscow,False
Guayaquil,-2.19,-79.8875,Ecuador,admin,America/Lima,False
Jaipur,26.9,75.8,India,admin,Asia/Kolkata,False
Lanzhou,36.0606,103.8268,China,admin,Asia/Manila,False
Athens,37.9842,23.7281,Greece,admin,Europe/Athens,False
Qincheng,34.5815,105.7248,China,admin,Asia/Manila,False
Izmir,38.42,27.14,Turkey,admin,Europe/Moscow,False
Quezon City,14.65,121.0475,Philippines,admin,Asia/Manila,False
Kyiv,50.45,30.5233,Ukraine,admin,Europe/Athens,False
Kottarassheri,10.775,76.651,India,admin,Asia/Kolkata,False
Meishan,30.0771,103.8484,China,admin,Asia/Manila,False
Incheon,37.4833,126.6333,"Korea, South",admin,Asia/Tokyo,False
Ningde,26.6662,119.5477,China,admin,Asia/Manila,False
Zhongshan,22.517,113.3925,China,admin,Asia/Manila,False
Putian,25.4526,119.0078,China,admin,Asia/Manila,False
Tongliao,43.654,122.243,China,admin,Asia/Manila,False
Chaoyang,41.571,120.453,China,admin,Asia/Manila,False
Hohhot,40.842,111.749,China,admin,Asia/Manila,False
Shaoguan,24.811,113.597,China,admin,Asia/Manila,False
Taichung,24.1439,120.6794,Taiwan,admin,Asia/Manila,False
Cali,3.4206,-76.5222,Colombia,admin,America/Lima,False
Heyuan,23.7443,114.7002,China,admin,Asia/Manila,False
Wuzhou,23.4767,111.279,China,admin,Asia/Manila,False
Pretoria,-25.7461,28.1881,South Africa,admin,Africa/Johannesburg,False
Suining,30.533,105.593,China,admin,Asia/Manila,False
Weihai,37.5133,122.1205,China,admin,Asia/Manila,False
Rizhao,35.417,119.527,China,admin,Asia/Manila,False
Malang,-7.98,112.62,Indonesia,admin,Asia/Jakarta,False
Stuttgart,48.7775,9.18,Germany,admin,Europe/Paris,False
Daqing,46.589,125.104,China,admin,Asia/Manila,False
Rome,41.8931,12.4828,Italy,admin,Europe/Paris,False
Kaohsiung,22.615,120.2975,Taiwan,admin,Asia/Manila,False
Xiangtan,27.8313,112.9454,China,admin,Asia/Manila,False
Bazhou,31.868,106.748,China,admin,Asia/Manila,False
Handan,36.601,114.487,China,admin,Asia/Manila,False
Brisbane,-27.4678,153.0281,Australia,admin,Australia/Brisbane,False
Jinzhou,41.129,121.148,China,admin,Asia/Manila,False
Xinzhou,38.416,112.734,China,admin,Asia/Manila,False
Nanping,26.6418,118.1774,China,admin,Asia/Manila,False
Gazipura,23.9234,90.3959,Bangladesh,admin,Asia/Dhaka,False
Shanwei,22.7872,115.3756,China,admin,Asia/Manila,False
Chaozhou,23.658,116.622,China,admin,Asia/Manila,False
Baotou,40.6213,109.9532,China,admin,Asia/Manila,False
Longyan,25.076,117.017,China,admin,Asia/Manila,False
Weifang,36.708,119.162,China,admin,Asia/Manila,False
Huai'an,33.551,119.113,China,admin,Asia/Manila,False
Zibo,36.8138,118.055,China,admin,Asia/Manila,False
Attadappa,11.8689,75.3555,India,admin,Asia/Kolkata,False
Munich,48.1375,11.575,Germany,admin,Europe/Paris,False
Gulou,26.0865,119.298,China,admin,Asia/Manila,False
Chattogram,22.335,91.8325,Bangladesh,admin,Asia/Dhaka,False
Yangjiang,21.857,111.983,China,admin,Asia/Manila,False
Barmhan Kalan,19.1972,72.9722,India,admin,Asia/Kolkata,False
Medellin,6.2308,-75.5906,Colombia,admin,America/Lima,False
Dingxi,35.608,104.592,China,admin,Asia/Manila,False
Shaoxing,30.0511,120.5833,China,admin,Asia/Manila,False
Yantai,37.4646,121.4478,China,admin,Asia/Manila,False
Huizhou,23.112,114.416,China,admin,Asia/Manila,False
Xuanzhou,30.939,118.759,China,admin,Asia/Manila,False
Mirzapur,25.146,82.569,India,admin,Asia/Kolkata,False
Hamburg,53.55,10.0,Germany,admin,Europe/Paris,False
Taipei,25.0375,121.5625,Taiwan,admin,Asia/Manila,False
Ankang,32.6854,109.029,China,admin,Asia/Manila,False
Zigong,29.339,104.779,China,admin,Asia/Manila,False
Sanming,26.2634,117.6389,China,admin,Asia/Manila,False
Toluca,19.2925,-99.6569,Mexico,admin,America/Mexico_City,False
Huangshi,30.2011,115.039,China,admin,Asia/Manila,False
Zhuhai,22.2742,113.5719,China,admin,Asia/Manila,False
Huludao,40.711,120.837,China,admin,Asia/Manila,False
Baoshan,25.112,99.161,China,admin,Asia/Manila,False
Mecca,21.4225,39.8261,Saudi Arabia,admin,Europe/Moscow,False
Vancouver,49.25,-123.1,Canada,admin,America/Los_Angeles,False
Lianshan,40.7523,120.828,China,admin,Asia/Manila,False
